ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
32187,,Hopetown Wine Co. Sauvignon Blanc VQA,13.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/1/032187.jpg.thumb.319.319.png
32363,,Rocca delle Macie 8-Bottle Wine and Entertainment Gift Card Bundle,151.60,Wine,Gifts and Samplers,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/3/032363.jpg.thumb.319.319.png
32373,,Rosehall Run Indigo Sparkling Wine VQA,19.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/3/032373.jpg.thumb.319.319.png
32412,,Babich Winemakers' Reserve Syrah 2017,36.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/4/032412.jpg.thumb.319.319.png
32940,,Anastasia Fragou Winery Retsina Old Vine Attica,17.70,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/9/032940.jpg.thumb.319.319.png
32941,,Anastasia Fragou Winery Malagousia Neilis Attica 2022,19.25,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/9/032941.jpg.thumb.319.319.png
33327,,Papagiannis Retsina of Attiki Dry White Wine,18.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/3/3/033327.jpg.thumb.319.319.png
33383,,Château Peyrat Peytar Sparkling Wine 2020,30.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/3/3/033383.jpg.thumb.319.319.png
33847,,Rtvelisi Kisi White Dry Wine 2021,12.40,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/3/8/033847.jpg.thumb.319.319.png
34722,,Kechris Roza Retsina Wine,31.25,Wine,Specialty Wines,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/4/7/034722.jpg.thumb.319.319.png
34954,,Winestillery Tuscan Vermouth,59.10,Wine,Specialty Wines,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/4/9/034954.jpg.thumb.319.319.png
35041,,Peninsula Ridge Tiny Bubbles Sparkling Wine VQA,18.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/5/0/035041.jpg.thumb.319.319.png
35312,,Ridgepoint Wines Bellissima VQA,24.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/5/3/035312.jpg.thumb.319.319.png
35719,,Wine Art Xinomavro 2019,56.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/5/7/035719.jpg.thumb.319.319.png
35722,,Dionysos Oenomelo Sweet White Wine,25.95,Wine,Dessert Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/5/7/035722.jpg.thumb.319.319.png
36184,,Infinito Winemaker's Selection Cabernet Sauvignon 2021,14.25,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/1/036184.jpg.thumb.319.319.png
36199,,Domaine Glinavos Paleokerisio Semi Sparkling Orange Wine 2022,20.95,Wine,Specialty Wines,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/1/036199.jpg.thumb.319.319.png
36803,,Fresita Ligero Strawberry Sparkling Wine,14.80,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/8/036803.jpg.thumb.319.319.png
36818,,Morandin Wines County Pinot Noir VQA,39.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/8/036818.jpg.thumb.319.319.png
36834,,Wine Art Estate Idisma Drios Assyrtiko,22.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/8/036834.jpg.thumb.319.319.png
